"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-08","0.00",,,"65","30",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-09","0.32",,,"56","43",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-17","0.00",,,"52","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-18","1.43",,,"55","43",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-19","1.42",,,"55","35",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-20","0.00",,,"55","37",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-21","0.00",,,"52","28",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-22","0.00",,,"55","39",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-23","0.00",,,"55","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-24","0.00",,,"58","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-25","0.00",,,"62","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-26","0.00",,,"65","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-27","0.00",,,"72","38",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-28","0.00",,,"71","37",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-29","0.00",,,"69","36",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-30","0.00",,,"74","36",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-01-31","0.00",,,"67","32",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-01","0.00",,,"75","34",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-02","0.00",,,"76","33",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-03","0.00",,,"78","34",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-04","0.00",,,"75","34",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-05","0.00",,,"73","37",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-06","0.00",,,"74","41",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-07","0.00",,,"74","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-08","0.00",,,"71","39",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-09","0.23",,,"70","51",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-10","0.00",,,"67","44",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-11","0.69",,,"69","38",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-12","0.00",,,"63","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-13","0.15",,,"62","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-14","0.87",,,"61","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-15","0.42",,,"60","49",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-16","0.00",,,"68","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-17","0.25",,,"65","42",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-18","0.52",,,"64","40",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-19","0.20",,,"60","45",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-20","0.00",,,"60","52",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-21","0.57",,,"56","46",
"USC00041715","CHICO UNIVERSITY FARM, CA US","1906-02-22","0.10",,,"57","43",
