DATE,CORESTICKM159SFRBATL
1968-01-01,3.65186106
1968-02-01,3.673819411
1968-03-01,4.142163975
1968-04-01,4.155828095
1968-05-01,4.088245437
1968-06-01,4.545569347
1968-07-01,4.753076334
1968-08-01,4.9466066
1968-09-01,4.948246979
1968-10-01,5.182592347
1968-11-01,5.399387944
1968-12-01,5.706347843
1969-01-01,5.746196961
1969-02-01,5.749956071
1969-03-01,6.125157849
1969-04-01,6.505620421
1969-05-01,6.780633974
1969-06-01,6.375966005
1969-07-01,6.389268621
1969-08-01,6.414746498
1969-09-01,6.834758299
1969-10-01,6.560106336
1969-11-01,6.437390535
1969-12-01,6.402163808
1970-01-01,6.592370014
1970-02-01,7.053805927
1970-03-01,6.993096123
1970-04-01,6.817838113
1970-05-01,6.947734731
1970-06-01,7.151974844
1970-07-01,7.00787567
1970-08-01,7.114872285
1970-09-01,7.081263039
1970-10-01,7.057638255
1970-11-01,7.327620064
1970-12-01,7.342681298
1971-01-01,7.014858012
1971-02-01,6.329604979
1971-03-01,5.50160847
1971-04-01,5.306250794
1971-05-01,5.060279237
1971-06-01,5.239199701
1971-07-01,5.165044197
1971-08-01,4.913620811
1971-09-01,4.672385308
1971-10-01,4.376576593
1971-11-01,3.953153899
1971-12-01,3.677258309
1972-01-01,3.728280469
1972-02-01,3.841502967
1972-03-01,4.057916253
1972-04-01,3.971403024
1972-05-01,3.863863418
1972-06-01,3.488589959
1972-07-01,3.467340855
1972-08-01,3.366129082
1972-09-01,3.1247262
1972-10-01,3.331141241
1972-11-01,3.268535943
1972-12-01,3.147816809
1973-01-01,2.842802671
1973-02-01,2.881142745
1973-03-01,2.929374136
1973-04-01,3.031703085
1973-05-01,3.175423207
1973-06-01,3.098743668
1973-07-01,3.013319714
1973-08-01,3.322713188
1973-09-01,3.944607922
1973-10-01,4.765238145
1973-11-01,4.927794502
1973-12-01,5.30805948
1974-01-01,5.845776926
1974-02-01,6.291538116
1974-03-01,6.816162733
1974-04-01,7.104721156
1974-05-01,7.728315605
1974-06-01,8.616369341
1974-07-01,9.526994824
1974-08-01,10.103211029
1974-09-01,10.593110106
1974-10-01,10.561468061
1974-11-01,10.985727169
1974-12-01,11.496042915
1975-01-01,11.624378564
1975-02-01,11.784135357
1975-03-01,11.573788456
1975-04-01,11.698351766
1975-05-01,10.926931315
1975-06-01,10.432971739
1975-07-01,9.76743143
1975-08-01,8.920589927
1975-09-01,8.520421165
1975-10-01,8.109587525
1975-11-01,8.092959791
1975-12-01,7.685189103
1976-01-01,7.691042386
1976-02-01,7.373666255
1976-03-01,7.334813689
1976-04-01,6.847460223
1976-05-01,6.965887097
1976-06-01,6.871017008
1976-07-01,7.088593777
1976-08-01,7.352526572
1976-09-01,7.092183496
1976-10-01,6.878373933
1976-11-01,6.612229044
1976-12-01,6.196677638
1977-01-01,6.048908185
1977-02-01,6.05231412
1977-03-01,6.102888398
1977-04-01,6.580655715
1977-05-01,6.741041444
1977-06-01,6.920217354
1977-07-01,6.881150829
1977-08-01,6.832672177
1977-09-01,6.873489359
1977-10-01,6.950144555
1977-11-01,6.999499128
1977-12-01,7.363992642
1978-01-01,7.371987718
1978-02-01,7.341035476
1978-03-01,7.433603181
1978-04-01,7.413807475
1978-05-01,7.643491412
1978-06-01,7.679164103
1978-07-01,7.912838518
1978-08-01,8.176594615
1978-09-01,8.576148162
1978-10-01,9.03646557
1978-11-01,9.211524761
1978-12-01,9.058012586
1979-01-01,9.070516336
1979-02-01,9.571356337
1979-03-01,9.675145162
1979-04-01,9.918953512
1979-05-01,10.082376559
1979-06-01,10.269173247
1979-07-01,10.50434739
1979-08-01,10.93575743
1979-09-01,10.98372295
1979-10-01,11.257284188
1979-11-01,11.926588317
1979-12-01,12.734186684
1980-01-01,13.469735746
1980-02-01,13.599492679
1980-03-01,14.331667424
1980-04-01,14.755204998
1980-05-01,15.115272835
1980-06-01,15.774166719
1980-07-01,14.133410238
1980-08-01,13.268359535
1980-09-01,13.087752647
1980-10-01,13.084188753
1980-11-01,12.870601808
1980-12-01,12.685251999
1981-01-01,12.018100571
1981-02-01,11.229271193
1981-03-01,10.319341471
1981-04-01,9.710596634
1981-05-01,9.603160634
1981-06-01,9.212167638
1981-07-01,11.238230349
1981-08-01,11.81874206
1981-09-01,12.228963711
1981-10-01,11.266251913
1981-11-01,10.524035314
1981-12-01,9.855791699
1982-01-01,9.469843405
1982-02-01,9.539828014
1982-03-01,8.890430545
1982-04-01,9.081124943
1982-05-01,9.052945034
1982-06-01,8.878235542
1982-07-01,7.889386151
1982-08-01,7.329095724
1982-09-01,5.979568161
1982-10-01,5.978948458
1982-11-01,5.304532965
1982-12-01,4.248605204
1983-01-01,4.424606951
1983-02-01,4.356216055
1983-03-01,4.586331541
1983-04-01,4.187719488
