"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-04",,,"0.08",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-05",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-06",,,"0.21",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-07",,,"0.01",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-08",,,"0.32",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-09",,,"2.34",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-10",,,"0.04",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-11",,,"0.04",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-13",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-15",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-16",,,"0.26",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-17",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-19",,,"0.13",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-22",,,"0.53",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-23",,,"0.12",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-24",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-25",,,"0.24",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-01-26",,,"0.04",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-02-23",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-02-26",,,"0.04",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-01",,,"1.11",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-02",,,"0.08",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-03",,,"0.20",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-08",,,"0.26",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-13",,,"0.40",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-14",,,"0.38",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-15",,,"0.16",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-16",,,"0.50",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-17",,,"0.03",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-21",,,"0.98",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-22",,,"1.22",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-23",,,"0.13",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-03-24",,,"0.04",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-04-06",,,"0.74",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-04-07",,,"2.52",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-04-12",,,"0.09",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-04-16",,,"0.04",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-04-17",,,"0.44","0.0",,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-04-29",,,"0.00",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-05-25",,,"0.49",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-05-26",,,"0.18",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-10-02",,,"0.06",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-10-03",,,"0.00","0.0",,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-10-04",,,"0.00","0.0",,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-10-05",,,"0.04",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-21",,,"0.04",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-22",,,"1.01",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-23",,,"0.39",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-24",,,"0.12",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-25",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-27",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-28",,,"0.44",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-29",,,"0.58",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-11-30",,,"0.75",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-01",,,"0.04","0.0",,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-05",,,"0.06",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-06",,,"0.12","0.0",,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-15",,,"0.39",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-16",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-17",,,"2.22",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-18",,,"0.02",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-21",,,"0.39",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-23",,,"0.06","0.0",,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-24",,,"0.37",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2018-12-25",,,"0.33",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-06",,,"0.46",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-07",,,"1.63",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-08",,,"0.03",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-09",,,"1.44",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-10",,,"0.07",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-16",,,"1.46",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-17",,,"1.34",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-18",,,"0.28",,,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-19",,,"0.00","0.0",,,,,
"US1CABT0012","CHICO 1.8 SW, CA US","2019-01-20",,,"0.13","0.0",,,,,
