"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT08"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-21","6.71"," 1814","0.00",,,"60","72","47",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-22","5.59"," 1816","0.00",,,"61","76","45",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-23","7.61"," 0454","0.00",,,"65","75","54",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-24","11.18"," 1431","0.04",,,"65","77","52",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-25","10.74"," 1635","0.00",,,"60","70","50",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-26","11.86"," 1430","0.01",,,"57","67","46",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-27","5.59"," 1259","0.12",,,"56","62","50",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-28","11.41"," 0942","1.34",,,"53","57","48",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-29","10.07"," 1136","0.24",,,"56","64","48",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-30","6.26"," 1525","0.01",,,"60","74","45",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-05-31","5.59"," 2031","0.00",,,"66","79","53",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-01","10.07"," 1806","0.00",,,"66","79","53",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-02","11.41"," 1524","0.00",,,"65","74","55",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-03","8.50"," 1531","0.00",,,"60","67","52",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-04","7.61"," 1856","0.00",,,"63","75","50",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-05","6.04"," 2013","0.00",,,"66","78","53",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-06","10.29"," 2332","0.14",,,"67","77","56",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-07","11.18"," 1522","0.00",,,"63","69","57",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-08","6.04"," 1723","0.00",,,"67","76","57",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-09","9.40"," 1628","0.00",,,"68","81","55",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-10","14.09"," 0307","0.00",,,"66","74","58",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-11","5.59"," 0944","0.00",,,"63","70","55",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-12","10.51"," 1757","0.00",,,"67","78","56",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-13","6.49"," 1605","0.00",,,"69","80","57",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-14","5.59"," 1442","0.00",,,"74","89","58",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-15","4.47"," 1455","0.00",,,"75","93","57",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-16","18.79"," 1346","0.00",,,"73","83","62",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-17","9.40"," 0718","0.00",,,"72","88","56",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-18","10.29"," 1516","0.00",,,"73","88","58",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-19","8.95"," 1431","0.00",,,"70","85","55",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-20","10.29"," 1947","0.00",,,"66","80","52",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-21","9.62"," 2035","0.00",,,"67","80","53",,,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","1998-06-22","9.84"," 2006","0.00",,,"66","79","53",,,,
